orderCreatedAt,id,clientOid,symbol,side,type,stopPrice,price,size,dealSize,dealFunds,averagePrice,fee,feeCurrency,remark,tags,orderStatus
2021/6/1 1:00,60b51626c141750006ec7a63,,EWT-USDT,buy,limit,0,9,2.22,0,0,0,0,USDT,,,cancel
2021/5/23 1:03,60a9397cc1417500060c2ef8,,ETH-USDT,buy,limit,0,2200,0.0226705,0.0226705,49.8751,2200,0.0498751,USDT,,,done
2021/5/23 1:03,60a9396f93e36600067be71a,,ADA-USDT,buy,limit,0,1.38,36.2138,36.2138,49.975044,1.38,0.049975044,USDT,,,done
2021/5/23 21:46,60aa5c9dc141750006c64be4,,ETH-USDT,buy,limit,0,1900,0.052579,0.052579,99.9001,1900,0.0999001,USDT,,,done
2021/5/20 22:34,60a673605d560600079aab4a,,ETH-USDT,buy,limit,0,2500,0.02,0.02,50,2500,0.05,USDT,,,done
2021/5/18 23:55,60a3e35dc141750006186e30,,BTC-USDT,buy,limit,0,43000,0.00174302,0.00174302,74.94986,43000,0.07494986,USDT,,,done
2021/5/18 0:40,60a29c86cf5f530006c38caf,,ETH-USDT,buy,limit,0,2900,0.0086034,0.0086034,24.94986,2900,0.02494986,USDT,,,done
2021/5/14 3:35,609d7f88a11b8d0006dafe1a,,KCS-USDT,buy,limit,0,11,2.2728,2.2728,25.0008,11,0.0500016,USDT,,,done
2021/5/12 23:55,609bfa552d264a0006f7bf67,,KCS-USDT,buy,limit,0,12.65,3.9446,3.9446,49.89919,12.65,0.09979838,USDT,,,done
2021/5/10 0:03,609807ecb9bd7f0006ae4afe,,KCS-USDT,buy,limit,0,12.7,2.2027,2.2027,27.97429,12.7,0.05594858,USDT,,,done
2021/5/10 0:34,60980f0ecd8d9500068039dc,,KCS-USDT,buy,limit,0,12.6,1.8544,1.8544,23.36544,12.6,0.04673088,USDT,,,done
2021/5/10 3:03,6098321595cfe400063322a3,,KCS-USDT,buy,limit,0,12.85,1.8257,1.8257,23.460245,12.85,0.04692049,USDT,,,done
2021/5/12 12:29,609b598fe818d000064095c7,,KCS-USDT,buy,limit,0,13.3,1.8798,1.8798,25.00134,13.3,0.05000268,USDT,,,done
2021/5/10 0:02,609807a55b31e6000668610f,,KCS-USDT,buy,limit,0,13,1.9231,1.9231,25.0003,13,0.0500006,USDT,,,done
2021/5/24 23:39,60abc89793e3660006fb6abd,,BTC-USDT,buy,limit,0,33000,0.00302727,0.00302727,99.89991,33000,0.09989991,USDT,,,done
2021/5/17 2:44,60a16818937a760006ef912b,,BTC-USDT,buy,limit,0,46000,0.00054239,0.00054239,24.94994,46000,0.02494994,USDT,,,done
2021/5/17 2:43,60a167c7937a760006ecd72a,,ETH-USDT,buy,limit,0,3450,0.0072464,0.0072464,25.00008,3450,0.02500008,USDT,,,done
